,date,action,rule,interface_in,interface_out,ipsrc,ipdst,proto,portsrc,portdst,divers,year,month,day,hour,minute,second,cluster,isolation
0,2024-03-10 14:33:06,PERMIT,1.0,eth0,None,172.17.0.3,172.17.0.2,TCP,64353.0,22.0,6.0,2025,3,10,14,33,6,0,-1
1,2024-03-10 14:33:06,PERMIT,1.0,eth0,None,172.17.0.3,172.17.0.2,TCP,40832.0,22.0,6.0,2025,3,10,14,33,6,0,-1
2,2024-03-10 14:33:07,DENY,34.0,eth0,None,192.168.1.20,172.17.0.2,TCP,3306.0,47578.0,6.0,2025,3,10,14,33,7,-1,-1
3,2024-03-10 14:33:51,PERMIT,1.0,eth0,None,172.17.0.3,172.17.0.2,TCP,38855.0,22.0,6.0,2025,3,10,14,33,51,1,-1
4,2024-03-10 14:34:09,PERMIT,1.0,eth0,None,172.17.0.3,172.17.0.2,TCP,49645.0,22.0,6.0,2025,3,10,14,34,9,0,1
5,2024-03-10 14:34:12,PERMIT,1.0,eth0,None,172.17.0.3,172.17.0.2,TCP,50246.0,22.0,6.0,2025,3,10,14,34,12,0,1
6,2024-03-10 14:37:03,DENY,34.0,eth0,None,172.17.0.3,172.17.0.2,TCP,33461.0,1720.0,6.0,2025,3,10,14,37,3,-1,-1
7,2024-03-10 14:37:03,DENY,34.0,eth0,None,172.17.0.3,172.17.0.2,TCP,33461.0,256.0,6.0,2025,3,10,14,37,3,-1,-1
8,2024-03-10 14:37:03,DENY,34.0,eth0,None,172.17.0.3,172.17.0.2,TCP,33461.0,1025.0,6.0,2025,3,10,14,37,3,-1,-1
9,2024-03-10 14:37:03,DENY,34.0,eth0,None,172.17.0.3,172.17.0.2,TCP,33461.0,443.0,6.0,2025,3,10,14,37,3,-1,-1
10,2024-03-10 14:37:03,DENY,34.0,eth0,None,172.17.0.3,172.17.0.2,TCP,33461.0,1723.0,6.0,2025,3,10,14,37,3,-1,-1
11,2024-03-10 14:37:03,PERMIT,3.0,eth0,None,172.17.0.3,172.17.0.2,TCP,33461.0,21.0,6.0,2025,3,10,14,37,3,0,1
12,2024-03-10 14:37:03,PERMIT,5.0,eth0,None,172.17.0.3,172.17.0.2,TCP,33461.0,3306.0,6.0,2025,3,10,14,37,3,0,-1
13,2024-03-10 14:37:03,PERMIT,4.0,eth0,None,172.17.0.3,172.17.0.2,TCP,33461.0,80.0,6.0,2025,3,10,14,37,3,0,1
14,2024-03-10 14:37:03,PERMIT,2.0,eth0,None,172.17.0.3,172.17.0.2,TCP,33461.0,23.0,6.0,2025,3,10,14,37,3,0,1
15,2024-03-10 14:37:03,PERMIT,7.0,eth0,None,172.17.0.3,172.17.0.2,TCP,33461.0,59785.0,6.0,2025,3,10,14,37,3,0,-1
16,2024-03-10 14:37:03,PERMIT,7.0,eth0,None,172.17.0.3,172.17.0.2,TCP,33461.0,50674.0,6.0,2025,3,10,14,37,3,0,-1
17,2024-03-10 14:37:03,PERMIT,7.0,eth0,None,172.17.0.3,172.17.0.2,TCP,33461.0,53812.0,6.0,2025,3,10,14,37,3,0,-1
18,2024-03-10 14:37:03,PERMIT,7.0,eth0,None,172.17.0.3,172.17.0.2,TCP,33461.0,50217.0,6.0,2025,3,10,14,37,3,0,-1
19,2024-03-10 14:37:03,PERMIT,3.0,eth0,None,172.17.0.3,172.17.0.2,TCP,33461.0,20.0,6.0,2025,3,10,14,37,3,0,1
20,2024-03-10 14:40:37,DENY,34.0,eth0,None,10.0.0.1,172.17.0.2,TCP,63008.0,8888.0,6.0,2025,3,10,14,40,37,-1,-1
21,2024-03-10 14:40:37,DENY,34.0,eth0,None,192.168.4.1,172.17.0.2,TCP,63008.0,8888.0,6.0,2025,3,10,14,40,37,2,-1
22,2024-03-10 14:40:37,DENY,34.0,eth0,None,172.156.2.26,172.17.0.2,TCP,63008.0,8888.0,6.0,2025,3,10,14,40,37,2,-1
23,2024-03-10 14:40:37,DENY,34.0,eth0,None,192.168.1.0,172.17.0.2,TCP,63008.0,8888.0,6.0,2025,3,10,14,40,37,2,-1
24,2024-03-10 14:40:37,DENY,34.0,eth0,None,172.17.0.3,172.17.0.2,TCP,63008.0,8888.0,6.0,2025,3,10,14,40,37,2,-1
25,2024-03-10 14:40:37,PERMIT,3.0,eth0,None,10.0.0.1,172.17.0.2,TCP,63008.0,21.0,6.0,2025,3,10,14,40,37,1,1
26,2024-03-10 14:40:37,PERMIT,3.0,eth0,None,192.168.4.1,172.17.0.2,TCP,63008.0,21.0,6.0,2025,3,10,14,40,37,1,1
27,2024-03-10 14:40:37,PERMIT,3.0,eth0,None,172.156.2.26,172.17.0.2,TCP,63008.0,21.0,6.0,2025,3,10,14,40,37,1,1
28,2024-03-10 14:40:37,PERMIT,3.0,eth0,None,192.168.1.0,172.17.0.2,TCP,63008.0,21.0,6.0,2025,3,10,14,40,37,1,1
29,2024-03-10 14:40:37,PERMIT,3.0,eth0,None,172.17.0.3,172.17.0.2,TCP,63008.0,21.0,6.0,2025,3,10,14,40,37,1,1
30,2024-03-10 14:40:37,PERMIT,4.0,eth0,None,10.0.0.1,172.17.0.2,TCP,63008.0,80.0,6.0,2025,3,10,14,40,37,1,-1
31,2024-03-10 14:40:37,PERMIT,4.0,eth0,None,192.168.4.1,172.17.0.2,TCP,63008.0,80.0,6.0,2025,3,10,14,40,37,1,1
32,2024-03-10 14:40:37,PERMIT,4.0,eth0,None,172.156.2.26,172.17.0.2,TCP,63008.0,80.0,6.0,2025,3,10,14,40,37,1,1
33,2024-03-10 14:40:37,PERMIT,4.0,eth0,None,192.168.1.0,172.17.0.2,TCP,63008.0,80.0,6.0,2025,3,10,14,40,37,1,1
34,2024-03-10 14:40:37,PERMIT,4.0,eth0,None,172.17.0.3,172.17.0.2,TCP,63008.0,80.0,6.0,2025,3,10,14,40,37,1,1
35,2024-03-10 14:40:37,PERMIT,2.0,eth0,None,10.0.0.1,172.17.0.2,TCP,63008.0,23.0,6.0,2025,3,10,14,40,37,1,-1
36,2024-03-10 14:40:37,PERMIT,2.0,eth0,None,192.168.4.1,172.17.0.2,TCP,63008.0,23.0,6.0,2025,3,10,14,40,37,1,1
37,2024-03-10 14:40:37,PERMIT,2.0,eth0,None,172.156.2.26,172.17.0.2,TCP,63008.0,23.0,6.0,2025,3,10,14,40,37,1,1
38,2024-03-10 14:40:37,PERMIT,2.0,eth0,None,192.168.1.0,172.17.0.2,TCP,63008.0,23.0,6.0,2025,3,10,14,40,37,1,1
39,2024-03-10 14:40:37,PERMIT,2.0,eth0,None,172.17.0.3,172.17.0.2,TCP,63008.0,23.0,6.0,2025,3,10,14,40,37,1,1
40,2024-03-10 14:40:37,PERMIT,5.0,eth0,None,10.0.0.1,172.17.0.2,TCP,63008.0,3306.0,6.0,2025,3,10,14,40,37,1,-1
41,2024-03-10 14:40:37,PERMIT,5.0,eth0,None,192.168.4.1,172.17.0.2,TCP,63008.0,3306.0,6.0,2025,3,10,14,40,37,1,-1
42,2024-03-10 14:40:37,PERMIT,5.0,eth0,None,172.156.2.26,172.17.0.2,TCP,63008.0,3306.0,6.0,2025,3,10,14,40,37,1,1
43,2024-03-10 14:40:38,PERMIT,5.0,eth0,None,192.168.1.0,172.17.0.2,TCP,63008.0,3306.0,6.0,2025,3,10,14,40,38,1,1
44,2024-03-10 14:40:38,PERMIT,5.0,eth0,None,172.17.0.3,172.17.0.2,TCP,63008.0,3306.0,6.0,2025,3,10,14,40,38,1,1
45,2024-03-10 14:40:38,PERMIT,7.0,eth0,None,10.0.0.1,172.17.0.2,TCP,63008.0,50674.0,6.0,2025,3,10,14,40,38,1,-1
46,2024-03-10 14:40:38,PERMIT,7.0,eth0,None,192.168.4.1,172.17.0.2,TCP,63008.0,50674.0,6.0,2025,3,10,14,40,38,1,-1
47,2024-03-10 14:40:38,PERMIT,7.0,eth0,None,172.156.2.26,172.17.0.2,TCP,63008.0,50674.0,6.0,2025,3,10,14,40,38,1,-1
48,2024-03-10 14:40:38,PERMIT,7.0,eth0,None,192.168.1.0,172.17.0.2,TCP,63008.0,50674.0,6.0,2025,3,10,14,40,38,1,-1
49,2024-03-10 14:40:38,PERMIT,7.0,eth0,None,172.17.0.3,172.17.0.2,TCP,63008.0,50674.0,6.0,2025,3,10,14,40,38,1,-1
50,2024-03-10 14:40:38,DENY,34.0,eth0,None,10.0.0.1,172.17.0.2,TCP,63008.0,30636.0,6.0,2025,3,10,14,40,38,-1,-1
51,2024-03-10 14:40:39,PERMIT,7.0,eth0,None,10.0.0.1,172.17.0.2,TCP,63008.0,59785.0,6.0,2025,3,10,14,40,39,1,-1
52,2024-03-10 14:40:39,PERMIT,7.0,eth0,None,10.0.0.1,172.17.0.2,TCP,63008.0,53812.0,6.0,2025,3,10,14,40,39,1,-1
53,2024-03-10 14:40:39,PERMIT,7.0,eth0,None,192.168.4.1,172.17.0.2,TCP,63008.0,53812.0,6.0,2025,3,10,14,40,39,1,-1
54,2024-03-10 14:40:39,DENY,34.0,eth0,None,172.5.2.8,172.17.0.2,TCP,63008.0,49177.0,6.0,2025,3,10,14,40,39,2,-1
55,2024-03-10 14:40:41,DENY,34.0,eth0,None,10.172.11.2,172.17.0.2,TCP,63008.0,30240.0,6.0,2025,3,10,14,40,41,-1,-1
56,2024-03-10 14:40:41,DENY,34.0,eth0,None,172.17.0.3,172.17.0.2,TCP,63008.0,16009.0,6.0,2025,3,10,14,40,41,-1,-1
57,2024-03-10 14:40:43,DENY,34.0,eth0,None,194.25.56.2,172.17.0.2,TCP,63008.0,55275.0,6.0,2025,3,10,14,40,43,-1,-1
58,2024-03-10 14:40:43,DENY,34.0,eth0,None,172.17.0.3,172.17.0.2,TCP,63008.0,56185.0,6.0,2025,3,10,14,40,43,-1,-1
59,2024-03-10 14:40:45,DENY,34.0,eth0,None,10.172.11.2,172.17.0.2,TCP,63008.0,9890.0,6.0,2025,3,10,14,40,45,-1,-1
60,2024-03-10 14:40:45,DENY,34.0,eth0,None,28.12.15.20,172.17.0.2,TCP,63008.0,25887.0,6.0,2025,3,10,14,40,45,-1,-1
61,2024-03-10 14:40:46,PERMIT,3.0,eth0,None,10.0.0.1,172.17.0.2,TCP,63008.0,20.0,6.0,2025,3,10,14,40,46,1,-1
62,2024-03-10 14:40:46,PERMIT,3.0,eth0,None,192.168.4.1,172.17.0.2,TCP,63008.0,20.0,6.0,2025,3,10,14,40,46,1,1
63,2024-03-10 14:40:46,PERMIT,3.0,eth0,None,172.156.2.26,172.17.0.2,TCP,63008.0,20.0,6.0,2025,3,10,14,40,46,1,1
64,2024-03-10 14:40:46,PERMIT,3.0,eth0,None,192.168.1.0,172.17.0.2,TCP,63008.0,20.0,6.0,2025,3,10,14,40,46,1,1
65,2024-03-10 14:40:46,PERMIT,3.0,eth0,None,172.17.0.3,172.17.0.2,TCP,63008.0,20.0,6.0,2025,3,10,14,40,46,1,1
66,2024-03-10 14:40:46,DENY,34.0,eth0,None,10.172.11.2,172.17.0.2,TCP,63008.0,56524.0,6.0,2025,3,10,14,40,46,-1,-1
67,2024-03-10 14:40:48,DENY,34.0,eth0,None,172.5.2.8,172.17.0.2,TCP,63008.0,64654.0,6.0,2025,3,10,14,40,48,-1,-1
68,2024-03-10 14:40:48,PERMIT,7.0,eth0,None,10.0.0.1,172.17.0.2,TCP,63008.0,50217.0,6.0,2025,3,10,14,40,48,-1,-1
69,2024-03-10 14:40:48,PERMIT,7.0,eth0,None,192.168.4.1,172.17.0.2,TCP,63008.0,50217.0,6.0,2025,3,10,14,40,48,1,-1
70,2024-03-10 14:40:48,PERMIT,7.0,eth0,None,172.156.2.26,172.17.0.2,TCP,63008.0,50217.0,6.0,2025,3,10,14,40,48,1,-1
71,2024-03-10 14:40:48,PERMIT,7.0,eth0,None,192.168.1.0,172.17.0.2,TCP,63008.0,50217.0,6.0,2025,3,10,14,40,48,1,-1
72,2024-03-10 14:40:48,PERMIT,7.0,eth0,None,172.17.0.3,172.17.0.2,TCP,63008.0,50217.0,6.0,2025,3,10,14,40,48,1,-1
73,2024-03-10 14:41:19,DENY,34.0,eth0,None,10.0.0.1,172.17.0.2,TCP,47562.0,199.0,6.0,2025,3,10,14,41,19,-1,-1
74,2024-03-10 14:41:19,DENY,34.0,eth0,None,192.168.4.1,172.17.0.2,TCP,47562.0,199.0,6.0,2025,3,10,14,41,19,2,-1
75,2024-03-10 14:41:19,DENY,34.0,eth0,None,172.156.2.26,172.17.0.2,TCP,47562.0,199.0,6.0,2025,3,10,14,41,19,2,1
76,2024-03-10 14:41:19,DENY,34.0,eth0,None,192.168.1.0,172.17.0.2,TCP,47562.0,199.0,6.0,2025,3,10,14,41,19,2,-1
77,2024-03-10 14:41:19,DENY,34.0,eth0,None,10.10.1.101,172.17.0.2,TCP,47562.0,199.0,6.0,2025,3,10,14,41,19,-1,-1
78,2024-03-10 14:41:19,PERMIT,5.0,eth0,None,10.0.0.1,172.17.0.2,TCP,47562.0,3306.0,6.0,2025,3,10,14,41,19,1,1
79,2024-03-10 14:41:19,PERMIT,5.0,eth0,None,192.168.4.1,172.17.0.2,TCP,47562.0,3306.0,6.0,2025,3,10,14,41,19,1,1
80,2024-03-10 14:41:19,PERMIT,5.0,eth0,None,172.156.2.26,172.17.0.2,TCP,47562.0,3306.0,6.0,2025,3,10,14,41,19,1,1
