date,action,rule,interface_in,ipsrc,ipdst,proto,portsrc,portdst,year,month,day,timestamp,portsrc_range,portdst_range,hour,ipsrc_class,ipdst_class,isprivatesrc,isprivatedst
2024-03-10 14:33:06,PERMIT,1.0,eth0,172.17.0.3,172.17.0.2,TCP,64353.0,22.0,2024,3,10,14:33:06,Dynamic,well-known,14,B,B,Private,Private
2024-03-10 14:33:06,PERMIT,1.0,eth0,172.17.0.3,172.17.0.2,TCP,40832.0,22.0,2024,3,10,14:33:06,Registered,well-known,14,B,B,Private,Private
2024-03-10 14:33:07,DENY,34.0,eth0,192.168.1.20,172.17.0.2,TCP,3306.0,47578.0,2024,3,10,14:33:07,Registered,Registered,14,C,B,Private,Private
2024-03-10 14:33:51,PERMIT,1.0,eth0,172.17.0.3,172.17.0.2,TCP,38855.0,22.0,2024,3,10,14:33:51,Registered,well-known,14,B,B,Private,Private
2024-03-10 14:34:09,PERMIT,1.0,eth0,172.17.0.3,172.17.0.2,TCP,49645.0,22.0,2024,3,10,14:34:09,Dynamic,well-known,14,B,B,Private,Private
2024-03-10 14:34:12,PERMIT,1.0,eth0,172.17.0.3,172.17.0.2,TCP,50246.0,22.0,2024,3,10,14:34:12,Dynamic,well-known,14,B,B,Private,Private
2024-03-10 14:37:03,DENY,34.0,eth0,172.17.0.3,172.17.0.2,TCP,33461.0,1720.0,2024,3,10,14:37:03,Registered,Registered,14,B,B,Private,Private
2024-03-10 14:37:03,DENY,34.0,eth0,172.17.0.3,172.17.0.2,TCP,33461.0,256.0,2024,3,10,14:37:03,Registered,well-known,14,B,B,Private,Private
2024-03-10 14:37:03,DENY,34.0,eth0,172.17.0.3,172.17.0.2,TCP,33461.0,1025.0,2024,3,10,14:37:03,Registered,Registered,14,B,B,Private,Private
2024-03-10 14:37:03,DENY,34.0,eth0,172.17.0.3,172.17.0.2,TCP,33461.0,443.0,2024,3,10,14:37:03,Registered,well-known,14,B,B,Private,Private
2024-03-10 14:37:03,DENY,34.0,eth0,172.17.0.3,172.17.0.2,TCP,33461.0,1723.0,2024,3,10,14:37:03,Registered,Registered,14,B,B,Private,Private
2024-03-10 14:37:03,PERMIT,3.0,eth0,172.17.0.3,172.17.0.2,TCP,33461.0,21.0,2024,3,10,14:37:03,Registered,well-known,14,B,B,Private,Private
2024-03-10 14:37:03,PERMIT,5.0,eth0,172.17.0.3,172.17.0.2,TCP,33461.0,3306.0,2024,3,10,14:37:03,Registered,Registered,14,B,B,Private,Private
2024-03-10 14:37:03,PERMIT,4.0,eth0,172.17.0.3,172.17.0.2,TCP,33461.0,80.0,2024,3,10,14:37:03,Registered,well-known,14,B,B,Private,Private
2024-03-10 14:37:03,PERMIT,2.0,eth0,172.17.0.3,172.17.0.2,TCP,33461.0,23.0,2024,3,10,14:37:03,Registered,well-known,14,B,B,Private,Private
2024-03-10 14:37:03,PERMIT,7.0,eth0,172.17.0.3,172.17.0.2,TCP,33461.0,59785.0,2024,3,10,14:37:03,Registered,Dynamic,14,B,B,Private,Private
2024-03-10 14:37:03,PERMIT,7.0,eth0,172.17.0.3,172.17.0.2,TCP,33461.0,50674.0,2024,3,10,14:37:03,Registered,Dynamic,14,B,B,Private,Private
2024-03-10 14:37:03,PERMIT,7.0,eth0,172.17.0.3,172.17.0.2,TCP,33461.0,53812.0,2024,3,10,14:37:03,Registered,Dynamic,14,B,B,Private,Private
2024-03-10 14:37:03,PERMIT,7.0,eth0,172.17.0.3,172.17.0.2,TCP,33461.0,50217.0,2024,3,10,14:37:03,Registered,Dynamic,14,B,B,Private,Private
